Year,North East,North West,East Midlands,London,South East,South West
2002,55000,63500,76000,170000,137500,113000
2003,67000,75500,95000,194000,160000,137000
2004,86000,96000,119950,215000,179000,157500
2005,95000,110000,126500,225500,188000,168000
2006,110000,120000,132950,238500,196500,175000
2007,119500,130000,140000,250000,215000,188000
2008,118000,130000,140000,265000,220000,190000
2009,113000,125000,130000,250000,200000,175000
2010,120000,130000,138000,284000,224950,188000
2011,115000,125000,135000,295000,224000,187000
2012,115000,125000,135000,300000,225000,187000
2013,117000,125000,136500,319950,230000,189000
2014,120000,134000,145000,351262,243500,196000
2015,124950,138000,150000,387000,260000,210000
2016,125000,143000,160000,430000,286500,221000
2017,126875,150000,170000,450000,305000,235000
2018,129950,155000,179000,457500,312500,243000
2019,130000,159500,182500,455000,315000,247000
2020,133000,165000,190000,475000,322500,255000
2021,148500,190000,220000,505000,360000,287500
2022,142000,188000,225000,520000,366000,295000
2023,152000,200000,235000,525000,375000,310000
2024,155000,201250,235000,522500,370000,300000
