Year,Derby,Leicester,Rutland,Nottingham,Amber Valley,Bolsover,Chesterfield,Derbyshire Dales,Erewash,High Peak
2002,62950,64500,125750,59950,66000,41350,56000,118000,67500,82500
2003,79000,83000,154950,79950,84000,59950,70000,140000,84950,100000
2004,100500,105000,179950,93000,103000,78775,93000,174000,105000,127500
2005,115000,115000,195000,99000,115950,91000,106975,196750,115000,135000
2006,119995,118000,205500,105000,123000,97000,117000,198000,118500,142500
2007,125000,124900,210000,106000,130000,106995,124950,220150,124995,155000
2008,125000,125000,225000,103000,135000,110000,125000,202000,123500,154950
2009,120000,118000,202500,98000,125000,97000,115000,185000,116482,146000
2010,124500,120000,220000,100000,131000,102000,122500,215000,118000,145000
2011,119000,120000,209250,95000,126000,92500,118000,205000,117000,143000
2012,121000,119975,211350,96000,125000,93500,117000,200000,118000,150000
2013,125000,121000,217000,95500,127750,92500,122000,210000,120000,148000
2014,130000,125000,225000,105000,131000,102000,125000,217500,125000,150000
2015,135000,129500,228350,110000,143500,103500,126625,221000,133000,155000
2016,139000,139000,242500,118500,145000,111000,135000,225000,139950,165000
2017,144725,148000,266000,127500,152000,119995,140000,236750,145000,172500
2018,150000,161000,270000,132000,160000,125000,148000,244000,152500,178000
2019,159000,173000,264250,136000,167000,124000,147000,260000,157500,185000
2020,165000,180000,310000,145000,170000,125000,155000,255000,167500,190000
2021,180000,210000,322250,165000,206000,152000,175000,287750,185000,220000
2022,188000,221000,305000,175000,197000,160000,174025,315000,200000,230000
2023,195000,230000,338750,186700,215000,164000,183000,335000,210000,247500
2024,202500,235000,355000,190000,213250,160000,180000,310000,205000,250000
