,Barking and Dagenham,Barnet,Bexley,Hounslow,Islington,Kensington and Chelsea,Newham,Redbridge,Richmond upon Thames,Westminster
2002,106000,195000,130000,165000,231000,386000,129000,157995,244950,300000
2003,136000,225000,157000,186500,240000,385000,164125,189995,257000,315000
2004,155000,247500,172000,207000,246500,450000,181500,216000,285000,335000
2005,164000,250000,182000,220000,265000,450000,190000,227000,295000,357500
2006,165000,265000,190000,232000,289950,499946,201000,235000,320000,385000
2007,180000,290000,208000,248000,335000,635000,225000,250000,370000,450000
2008,191175,295000,215000,250000,350000,665000,230000,258000,390000,499950
2009,165000,289950,195000,240000,342000,675000,192750,240000,350000,495000
2010,165000,325000,209995,250000,365000,750000,210000,250000,402500,550000
2011,170000,330000,218000,250000,399950,782500,215000,250000,420000,600000
2012,170000,345000,215000,250000,420000,875000,218000,262500,427000,595000
2013,177500,360000,225000,275000,440000,960000,222000,270000,470000,720000
2014,205250,400000,249995,305000,525000,1150000,249999,295000,515750,795000
2015,235000,440000,280000,335000,580000,1190000,287500,339000,570000,840000
2016,276000,490000,323000,380000,577750,1125000,330000,385000,610000,870000
2017,300000,527650,340000,390000,607000,1300000,360000,420000,640000,957500
2018,307000,530000,351000,400000,585000,1300000,375000,430000,640000,920000
2019,314000,525000,352000,405000,576500,1250000,380000,432000,635000,896250
2020,320000,550000,365000,430000,630000,1250000,382000,435000,655000,920000
2021,335000,595000,392000,465000,622500,1225000,413202,490000,690000,865000
2022,365000,625000,415000,470000,655000,1430000,425000,490000,760000,984500
2023,380000,585000,425000,486000,660000,1297500,430500,500000,722000,935000
2024,362000,603500,420000,475000,648500,1200000,425000,500000,715000,910000
