Year,Hartlepool,Middlesbrough,Redcar and Cleveland,Stockton-on-Tees,Darlington,Newcastle upon Tyne,North Tyneside,South Tyneside,Sunderland,Gateshead
2002,43950,45500,51000,59000,55000,72000,59950,49500,50000,55000
2003,45000,45000,64495,75000,65000,89950,79950,60000,62000,67500
2004,50000,60000,82000,95000,89500,119500,104000,81000,82500,86500
2005,57500,70000,95000,105000,100000,120000,110000,93975,92000,95000
2006,82000,92375,110000,119950,109950,136000,120000,104000,101000,110000
2007,97500,102000,120000,128100,120000,143000,130000,112000,110000,115750
2008,102000,95000,117500,124950,119000,140000,126432,112000,108500,116000
2009,90000,102000,113750,122000,117500,129975,125000,104000,99950,115000
2010,100000,104950,117500,126500,123000,139000,137000,110000,105000,115000
2011,98000,93000,110000,122500,119000,132500,130000,101500,100000,112000
2012,95000,99000,112250,123500,118000,130000,130800,103500,100500,110000
2013,109000,102000,112000,125000,115000,131983,133000,110000,104000,117000
2014,103000,113750,120000,130000,120000,135000,138000,110000,105000,119950
2015,110000,110000,123000,132500,123000,145150,145000,117500,109250,124500
2016,110000,119975,123000,132000,127500,150000,149500,121750,111000,124000
2017,112500,112000,122000,131000,130600,150000,150000,121000,114995,127500
2018,110000,119998,125000,135000,129000,154250,155000,128000,117500,130000
2019,119000,117500,121000,136000,128750,153000,155000,127500,120000,134950
2020,125000,120000,127500,139475,135000,160000,160000,130000,122000,135000
2021,130000,130000,140000,150000,147000,172475,177500,145000,135000,145000
2022,125000,128500,140000,150000,140000,169950,175000,139975,130000,136600
2023,132000,135000,150000,161000,150000,177000,185000,145974,132500,150000
2024,130000,139975,157000,160000,150000,180000,185000,150000,136000,150000
