,Bath and North East Somerset,"Bristol, City of",North Somerset,South Gloucestershire,Plymouth,Torbay,Swindon,East Devon,Exeter,Mid Devon
2002,139950,105000,107000,113500,75000,93500,107950,127950,104125,113000
2003,167500,128850,130000,135000,90000,119500,119000,160000,132000,135000
2004,186000,142000,150000,149000,115000,140250,129000,183000,153500,160000
2005,195000,150000,161725,158000,128850,155000,133000,194000,161000,169950
2006,204600,159000,169950,166000,135000,159000,140000,200000,168000,172500
2007,227000,174000,185000,184000,148500,170000,152250,220000,179000,187500
2008,225000,175000,189000,186000,145500,169950,153000,221000,184000,195000
2009,200000,160000,174950,169950,138000,154000,139972,205000,172000,175000
2010,229975,172500,188000,183800,145000,162000,153000,225000,178000,182500
2011,230000,172500,184975,177000,140000,159950,149972,222500,184000,187500
2012,232750,175000,183950,181000,140000,156000,146500,222125,182500,183625
2013,238500,176000,189000,184950,142000,160000,151000,217000,185000,190500
2014,245000,188000,200000,200000,151000,165000,160000,228000,189950,187500
2015,265000,209000,215000,215000,155000,170000,169000,242500,205000,199250
2016,287500,235000,224000,235000,162000,178500,187950,239500,212500,205000
2017,302750,255000,235000,250000,165000,184950,203000,264425,227000,210000
2018,315000,265000,249950,260000,170000,190000,212250,273000,240000,227725
2019,315000,270000,250000,261500,170000,196000,215000,275000,240750,228000
2020,320000,280000,264000,272000,179950,200000,217000,285000,250000,245000
2021,361500,312500,299950,300000,195000,230000,238000,320000,270000,270000
2022,372000,327500,295000,320000,205000,240000,250000,325000,287500,289975
2023,385000,345000,315000,330000,210000,251000,262000,343000,305000,295375
2024,385000,340000,310750,323500,215000,245000,260000,335000,293500,280000
