Year,Barking and Dagenham,Barnet,Bexley,Hounslow,Islington,Kensington and Chelsea,Newham,Redbridge,Richmond upon Thames,Westminster
2002,22854,26415,23757,23994,26968,36519,20543,25560,33732,28162
2003,21878,26513,25298,24379,28166,36681,21705,26705,33342,28478
2004,21690,28787,26333,24287,28838,44815,22360,25990,34508,32255
2005,22794,29567,27024,26179,29997,42357,24101,27751,35086,32738
2006,25197,29061,28001,25600,31996,44695,24455,29656,34867,33272
2007,25519,29512,28911,26453,32589,41011,24227,31366,37565,34979
2008,25620,31440,30859,27714,32740,43583,25521,32878,39603,38656
2009,28624,33041,31018,28121,34026,48582,26154,32803,38126,37309
2010,26498,32674,31262,29053,33971,46143,26998,33808,39133,45933
2011,25915,32490,32041,29236,36241,47492,26489,32202,41136,41815
2012,26976,32331,32332,30000,38075,41047,26679,32719,41051,42938
2013,28403,32964,32930,30037,35446,45497,28261,32311,38925,39064
2014,27173,32138,32362,30099,36833,45493,25869,33087,39884,40731
2015,28511,33072,31987,29323,35442,40249,27144,35747,39534,42833
2016,28012,33459,34109,30901,36635,38350,27773,33742,42068,41729
2017,30200,37340,33453,31792,37972,44601,29107,33201,40818,43105
2018,29313,35645,34857,32162,45000,43370,30871,33632,42338,44712
2019,29363,36292,36932,34682,43715,47027,31807,35534,43069,43990
2020,32852,36411,39912,34804,46706,47826,32909,36573,49574,44544
2021,32668,35719,37074,32548,43236,50457,34920,36986,43570,42062
2022,33457,37628,41568,36905,42583,41707,34808,38618,45473,45091
2023,34721,41817,42614,38444,45688,52000,38463,40845,47609,50958
2024,38044,44962,44615,39532,49186,52622,38802,43241,56048,51034
