,Halton,Warrington,Blackburn with Darwen,Blackpool,Burnley,Chorley,Fylde,Hyndburn,Lancaster,Pendle
2002,18908,19787,18037,15669,18280,19974,22062,15937,20431,16528
2003,19032,21617,18626,17240,19450,20671,24216,16260,20804,17012
2004,20433,22157,20349,17121,18708,20273,24512,15940,21225,17221
2005,20011,23345,20867,18134,20748,22025,25558,17933,22103,18770
2006,19740,25794,21010,18261,21017,21887,23705,17564,22466,19747
2007,21946,24463,21752,19461,19683,22595,26370,17931,24721,19787
2008,22462,26778,20823,19003,22096,23518,28859,18810,25342,21812
2009,22140,26324,23097,19384,20758,24417,28205,20751,25231,21342
2010,22849,26506,22941,18597,21204,24154,29066,21659,25487,21703
2011,22781,26159,20974,19254,21484,24591,29654,22767,26165,22544
2012,23776,26617,21753,19294,22628,25723,27677,20726,24020,21866
2013,24998,25905,22091,19943,23725,23881,29351,21074,28672,22582
2014,25207,26203,23283,19695,22041,24745,30996,22040,27752,24630
2015,24974,28207,21519,21010,22473,25821,24926,22421,26374,24845
2016,25250,27856,22768,21429,24142,27486,26983,23549,27915,24132
2017,26143,28168,23183,23055,23659,27463,30498,25069,27612,25344
2018,27592,30776,23449,22943,24795,30169,31837,22627,26995,27289
2019,27690,30877,25121,24795,28050,31094,31545,24912,28193,27038
2020,30405,30245,24554,24526,25334,31157,33449,24850,29308,25559
2021,28810,31428,25907,22666,27115,33954,30518,26891,30971,23352
2022,31660,32524,27451,25052,28480,32682,31399,27200,30786,25768
2023,33490,34712,30731,27191,30774,32926,38871,29835,30606,27071
2024,36077,37387,29153,31364,31752,38868,38133,31940,33565,28945
