Year,Bath and North East Somerset,"Bristol, City of",North Somerset,South Gloucestershire,Plymouth,Torbay,Swindon,East Devon,Exeter,Mid Devon
2002,21601,19756,21329,20584,18365,15422,20418,17300,18191,18909
2003,22943,20538,22559,21992,19388,16642,21546,18214,17996,18891
2004,23118,21506,24353,23628,20087,17709,22504,20456,19809,20458
2005,22988,22064,25246,24007,20008,18706,22737,20358,20165,20947
2006,24754,22315,26040,24323,20852,19418,23417,21912,20257,20433
2007,24634,22899,26726,24711,20944,19310,25561,21815,20385,20119
2008,25651,23874,26832,25714,22939,20045,26604,21813,21430,20120
2009,24938,25147,27216,25816,23205,19449,26507,22566,22290,22286
2010,26248,25570,27695,25956,23624,19571,26677,22810,22755,21727
2011,25937,25235,28700,26709,23673,22055,26869,23097,23006,22095
2012,26864,25501,29037,27474,23998,21488,26912,22836,22089,23124
2013,29302,25910,29746,27344,24125,21923,26628,25132,23714,23609
2014,27953,26541,29893,28613,24493,22308,27268,24679,24151,23451
2015,28151,27305,29486,29031,25006,22380,28123,25586,24404,24598
2016,29888,27378,30086,29739,24970,22412,29248,27754,27275,25618
2017,29211,27924,30944,30238,26979,23878,28736,26849,26202,27353
2018,31902,29093,30246,30538,27685,24232,30018,27601,27965,27961
2019,32255,30395,31067,31636,25837,25912,30659,29364,29748,27537
2020,31098,32339,34638,31965,28165,27029,31912,29456,30897,26961
2021,30203,32257,29834,31518,25896,26392,30595,29302,30183,28457
2022,36351,34248,34314,33108,27249,29068,33591,32663,31749,29851
2023,38669,35858,36481,37152,31690,29380,35300,34129,31744,33289
2024,40218,38990,38430,39263,33566,30611,38035,39414,35144,35392
